"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"96","96"," ","GEORGE E WEEMS MEMORIAL HOSP","135 AVENUE G","APALACHICOLA","32320","Franklin","-84.99264323","29.72451272","-84.99264323,29.72451272","16R FT 94157 89946"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_96","Apalachicola","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","7","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"97","97"," ","FL ST HOSP","100 N MAIN ST","CHATTAHOOCHEE","32324","Gadsden","-84.83857111","30.70745311","-84.83857111,30.70745311","16R GU 06994 99175"," "," ","HOSPITAL","1230","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_97","Chattahoochee","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","8","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"98","98"," ","CAPITAL REGIONAL MED CENT/GADSDEN","23186 BLUE STAR HWY","QUINCY","32353","Gadsden","-84.54861864","30.56899352","-84.54861864,30.56899352","16R GU 35104 84396"," "," ","HOSPITAL - ACUTE CARE","4","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_98",,"Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","8","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"99","99"," ","TRENTON MEDICAL CENTER (PRIVATE)","911 S MAIN ST","TRENTON","32693","Gilchrist","-82.81883313","29.60753994","-82.81883313,29.60753994","17R LN 23876 76680"," "," ","HOSPITAL","0","MDFLT",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_99","Trenton","Suwannee River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","22","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"100","100"," ","SACRED HEART HOSPITAL ON THE GULF","3801 E HWY 98","PORT SAINT JOE","32456","Gulf","-85.28798285","29.77891529","-85.28798285,29.77891529","16R FT 65497 95516"," "," ","HOSPITAL - ACUTE CARE","19","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_100","Port St. Joe","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","7","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"101","101"," ","FL HOSP WAUCHULA","533 W CARLTON ST","WAUCHULA","33873","Hardee","-81.81690527","27.53563213","-81.81690527,27.53563213","17R ML 19336 46029"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_101","Wauchula","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","83","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"102","102"," ","HENDRY REGION MED CNTR","524 W SAGAMORE AVE","CLEWISTON","33440","Hendry","-80.94124923","26.75281761","-80.94124923,26.75281761","17R NK 05841 59059"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_102","Clewiston","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","82","28","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"103","103"," ","SPRING HILL REGIONAL HOSP","10461 QUALITY DR","SPRING HILL","34609","Hernando","-82.54036455","28.43747464","-82.54036455,28.43747464","17R LM 49153 46630"," "," ","HOSPITAL - ACUTE CARE","124","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_103",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Northwest","7","53","11","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium"
"104","104"," ","SPRINGBROOK HOSPITAL","7007 GROVE RD","BROOKSVILLE","34609","Hernando","-82.48421913","28.53277253","-82.48421913,28.53277253","17R LM 54782 57121"," "," ","HOSPITAL","66","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_104",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Northwest","7","53","11","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","High","Medium"
"105","105"," ","OAK HILL HOSP","11375 CORTEZ BLVD","BROOKSVILLE","34613","Hernando","-82.53405961","28.53662124","-82.53405961,28.53662124","17R LM 49911 57608"," "," ","HOSPITAL - ACUTE CARE","262","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_105",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Northwest","7","53","11","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"106","106"," ","BAYFRNT HLTH BROOKSVILLE","17240 CORTEZ BLVD","BROOKSVILLE","34601","Hernando","-82.44282759","28.53860124","-82.44282759,28.53860124","17R LM 58840 57717"," "," ","HOSPITAL - ACUTE CARE","120","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_106",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Northwest","7","52","11","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"107","107"," ","HIGHLANDS REGIONAL MEDICAL CNTR","3600 S HIGHLANDS AVE","SEBRING","33870","Highlands","-81.43338156","27.46569212","-81.43338156,27.46569212","17R ML 57180 38091"," "," ","HOSPITAL - ACUTE CARE","126","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_107","Sebring","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","South District","Southwest","1","83","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"108","108"," ","FL HOSP HEARTLAND MED. CENT","4200 SUN N LAKE BLVD","SEBRING","33872","Highlands","-81.505942","27.539059","-81.50594200,27.53905900","17R ML 50044 46245"," "," ","HOSPITAL - ACUTE CARE","147","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_108",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","South District","Southwest","1","83","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"109","109"," ","FL HOSP HEARTLAND MEDI CNTR LAKE PLACID","1210 US 27 N","LAKE PLACID","33852","Highlands","-81.36980213","27.32055598","-81.36980213,27.32055598","17R ML 63414 21994"," "," ","HOSPITAL - ACUTE CARE","50","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_109",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","South District","Southwest","1","83","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Low","Low","Low","Low"
"110","110"," ","TAMPA COMMUNITY HOSP","6001 WEBB RD","TAMPA","33615","Hillsborough","-82.5741967","28.00250098","-82.57419670,28.00250098","17R LL 45213 98477"," "," ","HOSPITAL - ACUTE CARE","201","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_110",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","64","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"111","111"," ","SHRINER'S HOSPITAL FOR CHILDREN/TAMPA","12502 N PINE DR","TAMPA","33612","Hillsborough","-82.4228359","28.06153024","-82.42283590,28.06153024","17R LM 60174 04835"," "," ","HOSPITAL - PEDIATRIC","60","EFHM",,,"HOSPITAL - PEDIATRIC",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_111","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","67","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"112","112"," ","ST JOSEPHS HOSPITAL - NORTH","4211 VAN DYKE RD","LUTZ","33558","Hillsborough","-82.50968117","28.12959793","-82.50968117,28.12959793","17R LM 51732 12479"," "," ","HOSPITAL - ACUTE CARE","76","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_112",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","66","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium"
"113","113"," ","LEE MOFFITT CANCER CNTR & RESEARCH INST","12902 MAGNOLIA DR","TAMPA","33612","Hillsborough","-82.42135617","28.06410495","-82.42135617,28.06410495","17R LM 60323 05118"," "," ","HOSPITAL - ACUTE CARE","206","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_113","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","67","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"114","114"," ","SOUTH BAY HOSPITAL","4016 SUN CITY CENTER BLVD","SUN CITY CENTER","33573","Hillsborough","-82.36529221","27.71349907","-82.36529221,27.71349907","17R LL 65400 66211"," "," ","HOSPITAL - ACUTE CARE","112","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_114",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","70","20","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"115","115"," ","MEMORIAL HOSPITAL OF TAMPA","2901 SWANN AVE","TAMPA","33609","Hillsborough","-82.48970589","27.93791613","-82.48970589,27.93791613","17R LL 53435 91217"," "," ","HOSPITAL - ACUTE CARE","183","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_115","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","65","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"116","116"," ","BRANDON REG HOSP","119 OAKFIELD DR","BRANDON","33511","Hillsborough","-82.28774627","27.93281138","-82.28774627,27.93281138","17R LL 73301 90426"," "," ","HOSPITAL - ACUTE CARE","422","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_116",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","69","23","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"117","117"," ","KINDRED HOSP - BAY AREA TAMPA","4555 S MANHATTAN AVE","TAMPA","33611","Hillsborough","-82.51886","27.89806","-82.51886000,27.89806000","17R LL 50511 86837"," "," ","HOSPITAL","73","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_117","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","65","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"118","118"," ","ST JOSEPHS HOSP BEHAV CNTR","4918 HABANA AVE","TAMPA","33607","Hillsborough","-82.48928","27.99208","-82.48928000,27.99208000","17R LL 53550 97218"," "," ","HOSPITAL","60","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_118","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","64","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"119","119"," ","SOUTH FLORIDA BAPTIST HOSP","301 N ALEXANDER ST","PLANT CITY","33563","Hillsborough","-82.139053","28.0155341","-82.13905300,28.01553410","17R LL 88017 99446"," "," ","HOSPITAL - ACUTE CARE","147","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_119","Plant City","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","68","23","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"120","120"," ","ST JOSEPHS HOSP S","6901 SIMMONS LOOP","RIVERVIEW","33578","Hillsborough","-82.347334","27.78923","-82.34733400,27.78923000","17R LL 67262 74582"," "," ","HOSPITAL - ACUTE CARE","90","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_120",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","70","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"121","121"," ","KINDRED HOSP - CENTRAL TAMPA","4801 N HOWARD AVE","TAMPA","33603","Hillsborough","-82.48162206","27.98914819","-82.48162206,27.98914819","17R LL 54299 96884"," "," ","HOSPITAL","102","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_121","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","64","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"122","122"," ","FL HOSP CARROLLWOOD","7171 N DALE MABRY HWY","TAMPA","33614","Hillsborough","-82.50405524","28.01352602","-82.50405524,28.01352602","17R LL 52126 99612"," "," ","HOSPITAL - ACUTE CARE","120","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_122",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","64","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"123","123"," ","FL HOSP TAMPA","3100 E FLETCHER AVE","TAMPA","33613","Hillsborough","-82.42331939","28.0706178","-82.42331939,28.07061780","17R LM 60138 05842","PR"," ","HOSPITAL - ACUTE CARE","517","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_123",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","67","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"124","124"," ","JAMES A HALEY VA MED CNTRQ","13000 N BRUCE B DOWNS BLVD","TAMPA","33612","Hillsborough","-82.42805717","28.06444372","-82.42805717,28.06444372","17R LM 59665 05164"," "," ","HOSPITAL - VA","415","EFHL",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_124",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","63","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"125","125"," ","6TH MED GROUP","3250 ZEMKE AVE","MACDILL AFB","33621","Hillsborough","-82.50072563","27.85994784","-82.50072563,27.85994784","17R LL 52244 82592"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_125","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","65","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"126","126"," ","ST JOSEPH'S HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","TAMPA","33607","Hillsborough","-82.49091335","27.98233668","-82.49091335,27.98233668","17R LL 53376 96140"," "," ","HOSPITAL - TRAUMA","780","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_126","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","64","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"127","127"," ","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIR","TAMPA","33606","Hillsborough","-82.45841812","27.93812126","-82.45841812,27.93812126","17R LL 56514 91203","M"," ","HOSPITAL - TRAUMA","1011","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_127","Tampa","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","65","14","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"128","128"," ","6TH MED GROUP USAF - BRANDON CLIN","22 0GRAND REGENCY BLVD","BRANDON","33510","Hillsborough","-82.32632","27.94365","-82.32632000,27.94365000","17R LL 69518 91668"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_128",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","67","23","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"129","129"," ","DOCTORS MEMORIAL HOSP","2600 HOSPITAL DR","BONIFAY","32425","Holmes","-85.68284435","30.76096055","-85.68284435,30.76096055","16R FV 26061 03852"," "," ","HOSPITAL - ACUTE CARE","20","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_129",,"Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","5","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"130","130"," ","INDIAN RIVER MED CNTR","1000 36TH ST","VERO BEACH","32960","Indian River","-80.39451773","27.65857609","-80.39451773,27.65857609","17R NL 59719 59528"," "," ","HOSPITAL - ACUTE CARE","332","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_130",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","34","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"131","131"," ","SEBASTIAN RIVER MEDICAL CNTR","13695 US HWY 1","SEBASTIAN","32958","Indian River","-80.48903374","27.84366446","-80.48903374,27.84366446","17R NL 50312 79989"," "," ","HOSPITAL - ACUTE CARE","154","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_131",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","34","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Low","Low","Low","Medium"
